localName,domains
kpm,cim:ExcIEEEST4B cim:ExcST4B
kpp,cim:GovSteamFV4 cim:WindContPType3IEC
kpr,cim:ExcAC8B cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEST4B cim:ExcST4B
kr,cim:ExcAC3A cim:ExcDC3A cim:ExcIEEEAC3A cim:ExcIEEEST5B
ks,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC5A cim:ExcAC6A cim:ExcAC8B cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcREXS cim:ExcST3A cim:Pss1 cim:Pss1A cim:PssIEEE1A cim:SynchronousMachineTimeConstantReactance
ks1,cim:ExcELIN1 cim:ExcST3A cim:Pss2B cim:PssELIN2 cim:PssIEEE2B cim:PssIEEE3B
ks2,cim:ExcELIN1 cim:Pss2B cim:PssELIN2 cim:PssIEEE2B cim:PssIEEE3B
ks3,cim:Pss2B cim:PssIEEE2B
kt,cim:GovGAST cim:GovGAST1 cim:GovHydroFrancis
kturb,cim:GovCT1 cim:GovCT2 cim:GovHydro2 cim:GovHydroIEEE2
kuf,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
kui,cim:UnderexcLim2Simplified cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
kul,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
kv,cim:ExcDC3A cim:ExcIEEEDC3A
ldref,cim:GovCT1 cim:GovCT2
length,cim:Conductor cim:DCLineSegment
limitType,entsoe2:OperationalLimitType entsoe:OperationalLimitType
ls,cim:LoadGenericNonLinear cim:LoadMotor
lvgate,cim:ExcAC2A cim:ExcST4B
m,cim:OverexcLimX2 cim:Pss2B cim:PssIEEE2B cim:PssPTIST1 cim:PssPTIST3
marketCode,pti:EnergyCongestionZone pti:ScheduleResource
maxP,cim:EquivalentInjection cim:ExternalNetworkInjection
maxQ,cim:EquivalentInjection cim:ExternalNetworkInjection cim:SynchronousMachine
maxerr,cim:GovCT1 cim:GovCT2
melmax,cim:UnderexcLimX1 cim:UnderexcLimX2
minP,cim:EquivalentInjection cim:ExternalNetworkInjection
minQ,cim:EquivalentInjection cim:ExternalNetworkInjection cim:SynchronousMachine
minerr,cim:GovCT1 cim:GovCT2
mnef,cim:GovGAST3 cim:GovGAST4 cim:GovSteam2 cim:GovSteamFV4
mode,cim:PetersenCoil cim:RegulatingControl
modelDescriptionURI,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
multiplier,cim:ActivePower cim:ActivePowerPerCurrentFlow cim:ActivePowerPerFrequency cim:AngleDegrees cim:AngleRadians cim:ApparentPower cim:Area cim:Capacitance cim:CapacitancePerLength cim:Conductance cim:CurrentFlow cim:Frequency cim:Inductance cim:InductancePerLength cim:Length cim:Money cim:PU cim:PerCent cim:Reactance cim:ReactivePower cim:Resistance cim:ResistancePerLength cim:RotationSpeed cim:Seconds cim:Susceptance cim:Temperature cim:Voltage cim:VoltagePerReactivePower cim:VolumeFlowRate
mwbase,cim:GovCT1 cim:GovCT2 cim:GovGAST cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:GovHydro1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE0 cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroPID2 cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:GovSteam0 cim:GovSteam1 cim:GovSteamCC cim:GovSteamEU cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:TurbLCFB1
mxef,cim:GovGAST3 cim:GovGAST4 cim:GovSteam2 cim:GovSteamFV4
n,cim:Pss2B cim:PssIEEE2B
name,cim:IdentifiedObject fw:FrameworkIdentifiedObject
namespaceRDF,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
namespaceUML,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
nominalVoltage,cim:BaseVoltage cim:EnergySource
normalArmed,icim:RemedialActionScheme icim:StageTrigger
normalEnabled,icim:ProtectiveAction icim:StageTrigger
normalValue,cim:Command cim:SetPoint entsoe2:ActivePowerLimit entsoe2:CurrentLimit entsoe2:VoltageLimit
oelin,cim:ExcIEEEDC4B cim:ExcIEEEST6B cim:ExcIEEEST7B cim:ExcST6B cim:ExcST7B
operatingMode,cim:CsConverter cim:SynchronousMachine
p,cim:ACDCConverter cim:EnergyConsumer cim:EquivalentInjection cim:ExternalNetworkInjection cim:RotatingMachine cim:SvPowerFlow
p0,cim:UnderexcLim2Simplified cim:UnderexcLimIEEE2
p1,cim:GovHydroPID2 cim:UnderexcLim2Simplified cim:UnderexcLimIEEE2
p2,cim:GovHydroPID2 cim:UnderexcLimIEEE2
p3,cim:GovHydroPID2 cim:UnderexcLimIEEE2
pPccControl,cim:CsConverter cim:VsConverter
pTolerance,cim:ControlArea fw:PowerFlowOperation
pfrac,cim:LoadComposite cim:LoadMotor
pgv1,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWPID cim:GovSteam1
pgv2,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWPID cim:GovSteam1
pgv3,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWPID cim:GovSteam1
pgv4,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovSteam1
pgv5,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovSteam1
pgv6,cim:GovGAST1 cim:GovHydro2 cim:GovHydro3 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovSteam1
phases,cim:Measurement cim:Terminal
pmax,cim:GovHydro2 cim:GovHydro3 cim:GovHydroDD cim:GovHydroIEEE0 cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWPID cim:GovSteam1 cim:GovSteam2 cim:GovSteamEU cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO
pmin,cim:GovHydro2 cim:GovHydro3 cim:GovHydroDD cim:GovHydroIEEE0 cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWPID cim:GovSteam1 cim:GovSteam2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss1 cim:PssPTIST3
positiveFlowIn,cim:Analog cim:TieFlow
priority,cim:BusNameMarker icim:Stage
profile,fw:Model md:Model
proprietary,cim:AsynchronousMachineUserDefined cim:DiscontinuousExcitationControlUserDefined cim:ExcitationSystemUserDefined cim:LoadUserDefined cim:MechanicalLoadUserDefined cim:OverexcitationLimiterUserDefined cim:PFVArControllerType1UserDefined cim:PFVArControllerType2UserDefined cim:PowerSystemStabilizerUserDefined cim:SynchronousMachineUserDefined cim:TurbineGovernorUserDefined cim:TurbineLoadControllerUserDefined cim:UnderexcitationLimiterUserDefined cim:VoltageAdjusterUserDefined cim:VoltageCompensatorUserDefined cim:WindPlantUserDefined cim:WindType1or2UserDefined cim:WindType3or4UserDefined
q,cim:ACDCConverter cim:EnergyConsumer cim:EquivalentInjection cim:ExternalNetworkInjection cim:RotatingMachine cim:StaticVarCompensator cim:SvPowerFlow
q0,cim:UnderexcLim2Simplified cim:UnderexcLimIEEE2
q1,cim:UnderexcLim2Simplified cim:UnderexcLimIEEE2
qc0,cim:GovHydroFrancis cim:GovHydroPelton
qn,cim:GovHydroFrancis cim:GovHydroPelton
qnl,cim:GovHydro1 cim:GovHydro3 cim:GovHydroR
r,cim:ACLineSegment cim:DCGround cim:EarthFaultCompensator cim:EnergySource cim:EquivalentBranch cim:EquivalentInjection cim:GovCT1 cim:GovCT2 cim:GovGAST cim:GovGAST1 cim:GovHydroDD cim:GovHydroPID cim:GovHydroR cim:GovSteam0 cim:GovSteamFV2 cim:PowerTransformerEnd cim:SeriesCompensator cim:SynchronousMachine cim:TapChangerTablePoint cim:UnderexcLimX2
r0,cim:ACLineSegment cim:EnergySource cim:EquivalentInjection cim:MutualCoupling cim:PowerTransformerEnd cim:SeriesCompensator cim:SynchronousMachine
r2,cim:EquivalentInjection cim:SynchronousMachine
ratedS,cim:PowerTransformerEnd cim:RotatingMachine
ratedU,cim:PowerTransformerEnd cim:RotatingMachine
ratedUdc,cim:ACDCConverter cim:DCSeriesDevice cim:DCShunt
rclose,cim:GovCT1 cim:GovCT2
rdown,cim:GovCT1 cim:GovCT2
referencePriority,cim:ExternalNetworkInjection cim:SynchronousMachine
resistance,cim:DCLineSegment cim:DCSeriesDevice cim:DCShunt cim:PerLengthDCLineParameter
rmax,cim:GovGAST1 cim:WindContRotorRIEC
ropen,cim:GovCT1 cim:GovCT2
rperm,cim:GovHydro1 cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2 cim:GovHydroPID2
rselect,cim:GovCT1 cim:GovCT2
rtemp,cim:GovHydro1 cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2
rup,cim:GovCT1 cim:GovCT2
se1,cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcPIC cim:ExcREXS
se2,cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcPIC cim:ExcREXS
sections,cim:ShuntCompensator cim:SvShuntCompensatorSections
seefd1,cim:ExcAC5A cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcIEEEAC5A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B
seefd2,cim:ExcAC5A cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcIEEEAC5A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B
sequenceNumber,cim:ACDCTerminal cim:DiagramObjectPoint cim:PositionPoint cim:RegularTimePoint
seve1,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC6A cim:ExcAC8B cim:ExcELIN2 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B
seve2,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC6A cim:ExcAC8B cim:ExcELIN2 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B
shortName,entsoe:DiagramLayoutVersion entsoe:DynamicsVersion entsoe:EquipmentBoundaryVersion entsoe:EquipmentVersion entsoe:GeographicalLocationVersion entsoe:IdentifiedObject entsoe:StateVariablesVersion entsoe:SteadyStateHypothesisVersion entsoe:TopologyBoundaryVersion entsoe:TopologyVersion
step,cim:TapChanger cim:TapChangerTablePoint
t,cim:GovGAST2 cim:GovGASTWD
t1,cim:ExcANS cim:ExcAVR3 cim:ExcAVR4 cim:ExcAVR7 cim:ExcBBC cim:ExcIEEEST5B cim:ExcOEX3T cim:GovGAST cim:GovGAST1 cim:GovHydroIEEE0 cim:GovHydroR cim:GovSteam0 cim:GovSteam1 cim:GovSteam2 cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:OverexcLimX1 cim:OverexcLimX2 cim:Pss1A cim:Pss2B cim:Pss2ST cim:PssIEEE1A cim:PssIEEE2B cim:PssIEEE3B cim:PssPTIST1 cim:PssPTIST3 cim:PssSH cim:PssSK cim:PssWECC cim:WindPitchContEmulIEC
t10,cim:Pss1 cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssWECC
t11,cim:Pss2B cim:PssIEEE2B
t2,cim:ExcANS cim:ExcAVR3 cim:ExcAVR4 cim:ExcAVR7 cim:ExcBBC cim:ExcOEX3T cim:GovGAST cim:GovGAST1 cim:GovHydroIEEE0 cim:GovHydroR cim:GovSteam0 cim:GovSteam1 cim:GovSteam2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:OverexcLimX1 cim:OverexcLimX2 cim:Pss1A cim:Pss2B cim:Pss2ST cim:PssIEEE1A cim:PssIEEE2B cim:PssIEEE3B cim:PssPTIST1 cim:PssPTIST3 cim:PssSH cim:PssSK cim:PssWECC cim:WindPitchContEmulIEC
t3,cim:ExcANS cim:ExcAVR3 cim:ExcAVR4 cim:ExcAVR7 cim:ExcBBC cim:ExcOEX3T cim:GovGAST cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:GovHydroIEEE0 cim:GovHydroR cim:GovSteam0 cim:GovSteam1 cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:OverexcLimX1 cim:OverexcLimX2 cim:Pss1A cim:Pss2B cim:Pss2ST cim:PssIEEE1A cim:PssIEEE2B cim:PssPTIST1 cim:PssPTIST3 cim:PssSH cim:PssSK cim:PssWECC
t4,cim:ExcAVR3 cim:ExcAVR4 cim:ExcAVR7 cim:ExcBBC cim:ExcOEX3T cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:GovHydroIEEE0 cim:GovHydroR cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss1A cim:Pss2B cim:Pss2ST cim:PssIEEE1A cim:PssIEEE2B cim:PssPTIST1 cim:PssPTIST3 cim:PssSH cim:PssSK cim:PssWECC
t5,cim:ExcAVR7 cim:ExcOEX3T cim:GovGAST1 cim:GovGAST2 cim:GovGASTWD cim:GovHydroR cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss1 cim:Pss1A cim:Pss2ST cim:PssIEEE1A cim:PssPTIST3 cim:PssSK cim:PssWECC
t6,cim:ExcAVR7 cim:ExcOEX3T cim:GovHydroR cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1 cim:GovSteamSGO cim:Pss1 cim:Pss1A cim:Pss2B cim:Pss2ST cim:PssIEEE1A cim:PssIEEE2B cim:PssPTIST3 cim:PssSK cim:PssWECC
t7,cim:GovHydroR cim:GovSteam1 cim:GovSteamIEEE1 cim:Pss1 cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssWECC
t8,cim:GovHydroR cim:Pss1 cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssWECC
t9,cim:Pss1 cim:Pss2B cim:Pss2ST cim:PssIEEE2B cim:PssWECC
ta,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC4A cim:ExcAC5A cim:ExcAC6A cim:ExcAC8B cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR5 cim:ExcCZ cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A1 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC4A cim:ExcIEEEAC5A cim:ExcIEEEAC6A cim:ExcIEEEAC8B cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC4B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcREXS cim:ExcST1A cim:ExcST2A cim:ExcST4B cim:GovCT1 cim:GovCT2 cim:GovGAST4 cim:GovHydroFrancis cim:GovHydroPID2 cim:GovHydroPelton cim:GovHydroWPID cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamFV4 cim:Pss2B cim:PssSB4
tact,cim:GovCT1 cim:GovCT2
tatb,cim:ExcSCRX cim:ExcSEXS
tb,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC4A cim:ExcAC5A cim:ExcAC6A cim:ExcANS cim:ExcAVR1 cim:ExcAVR2 cim:ExcDC1A cim:ExcDC2A cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC4A cim:ExcIEEEAC6A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEST1A cim:ExcIEEEST3A cim:ExcIEEEST7B cim:ExcSCRX cim:ExcSEXS cim:ExcST1A cim:ExcST2A cim:ExcST3A cim:ExcST7B cim:GovCT1 cim:GovCT2 cim:GovHydroPID2 cim:GovHydroWPID cim:GovSteamEU cim:GovSteamFV2 cim:GovSteamFV3 cim:Pss2B cim:PssSB4
tb1,cim:ExcELIN2 cim:ExcIEEEST1A cim:ExcIEEEST5B cim:ExcREXS cim:ExcST1A
tb2,cim:ExcIEEEST5B cim:ExcREXS
tc,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC4A cim:ExcAC5A cim:ExcAC6A cim:ExcCZ cim:ExcDC1A cim:ExcDC2A cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC4A cim:ExcIEEEAC6A cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEST1A cim:ExcIEEEST3A cim:ExcIEEEST7B cim:ExcSEXS cim:ExcSK cim:ExcST1A cim:ExcST2A cim:ExcST3A cim:ExcST7B cim:GovCT1 cim:GovCT2 cim:GovGAST2 cim:GovGAST3 cim:GovGAST4 cim:GovGASTWD cim:GovSteamFV2 cim:GovSteamFV3 cim:GovSteamFV4 cim:PssSB4 cim:SynchronousMachineTimeConstantReactance
tc1,cim:ExcIEEEST1A cim:ExcIEEEST5B cim:ExcREXS cim:ExcST1A
tc2,cim:ExcIEEEST5B cim:ExcREXS
tcd,cim:GovGAST2 cim:GovGASTWD
tcm,cim:GovGAST4 cim:GovSteamFV4
td,cim:DiscExcContIEEEDEC1A cim:ExcIEEEDC4B cim:GovGAST3 cim:GovGASTWD cim:GovHydro3 cim:GovHydroDD cim:GovHydroFrancis cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:PssSB4 cim:PssSH
tdgov,cim:GovCT1 cim:GovCT2
tdr,cim:DiscExcContIEEEDEC3A cim:ExcAC8B cim:ExcIEEEAC7B cim:ExcIEEEAC8B
te,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAC5A cim:ExcAC6A cim:ExcAC8B cim:ExcAVR1 cim:ExcAVR2 cim:ExcAVR3 cim:ExcCZ cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A cim:ExcDC3A1 cim:ExcELIN2 cim:ExcHU cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC5A cim:ExcIEEEAC6A cim:ExcIEEEAC7B cim:ExcIEEEAC8B cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC3A cim:ExcIEEEDC4B cim:ExcIEEEST2A cim:ExcOEX3T cim:ExcPIC cim:ExcREXS cim:ExcSCRX cim:ExcSEXS cim:ExcSK cim:ExcST2A cim:PssSB4
teng,cim:GovCT1 cim:GovCT2
tf,cim:ExcAC1A cim:ExcAC2A cim:ExcAC3A cim:ExcAVR1 cim:ExcDC1A cim:ExcDC2A cim:ExcDC3A1 cim:ExcIEEEAC1A cim:ExcIEEEAC2A cim:ExcIEEEAC3A cim:ExcIEEEAC7B cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC4B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcIEEEST7B cim:ExcOEX3T cim:ExcREXS cim:ExcST1A cim:ExcST2A cim:ExcST7B cim:GovGAST2 cim:GovGASTWD cim:GovHydro1 cim:GovHydro3 cim:GovHydroDD cim:GovHydroPID cim:GovSteamEU cim:PssPTIST1 cim:PssPTIST3
tf1,cim:ExcAC5A cim:ExcAVR2 cim:ExcDC2A cim:ExcIEEEAC5A cim:ExcPIC cim:ExcREXS cim:GovSteamFV4
tf2,cim:ExcAC5A cim:ExcAVR2 cim:ExcIEEEAC5A cim:ExcPIC cim:ExcREXS cim:GovSteamFV4 cim:UnderexcLimX1 cim:UnderexcLimX2
tf3,cim:ExcAC5A cim:ExcIEEEAC5A
tfload,cim:GovCT1 cim:GovCT2
tg,cim:ExcIEEEST6B cim:ExcIEEEST7B cim:ExcST6B cim:ExcST7B cim:GovGAST3 cim:GovHydro1 cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2 cim:GovHydroWEH cim:WindGenTurbineType3bIEC cim:WindGenType4IEC
th,cim:ExcAC6A cim:ExcIEEEAC6A
thetap,cim:ExcIEEEST3A cim:ExcIEEEST4B cim:ExcST3A cim:ExcST4B
thp,cim:GovSteamEU cim:GovSteamFV4
ti,cim:ExcHU cim:ExcSK cim:GovSteamFV2
ti1,cim:ExcELIN2 cim:PssIEEE4B
ti3,cim:ExcELIN2 cim:PssIEEE4B
ti4,cim:ExcELIN2 cim:PssIEEE4B
tia,cim:ExcIEEEST7B cim:ExcST7B
timeStamp,cim:Control cim:MeasurementValue
tj,cim:ExcAC6A cim:ExcIEEEAC6A
tk,cim:ExcAC6A cim:ExcIEEEAC6A
tl1,cim:DiscExcContIEEEDEC1A cim:Pss5 cim:PssIEEE4B
tl2,cim:DiscExcContIEEEDEC1A cim:Pss5 cim:PssIEEE4B
tl3,cim:Pss5 cim:PssIEEE4B
tl4,cim:Pss5 cim:PssIEEE4B
tm,cim:ExcIEEEST3A cim:ExcST3A cim:GovGAST4 cim:UnderexcLimX1 cim:UnderexcLimX2
tmax,cim:GovGAST2 cim:GovGASTWD
tmin,cim:GovGAST2 cim:GovGASTWD
toEndIsoCode,entsoe:ConnectivityNode entsoe:TopologicalNode
toEndName,entsoe:ConnectivityNode entsoe:TopologicalNode
toEndNameTso,entsoe:ConnectivityNode entsoe:TopologicalNode
tomegafilt,cim:WindContPType3IEC cim:WindContRotorRIEC
tp,cim:ExcREXS cim:ExcSK cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroDD cim:GovHydroIEEE2 cim:GovHydroPID cim:GovHydroR cim:GovHydroWEH cim:GovSteamEU cim:LoadGenericNonLinear cim:PssPTIST1 cim:PssPTIST3
tpe,cim:GovHydroWEH cim:Pss1 cim:Pss5 cim:WindPitchContEmulIEC
tpelec,cim:GovCT1 cim:GovCT2 cim:TurbLCFB1
tpfilt,cim:WindContPType3IEC cim:WindContQIEC cim:WindContRotorRIEC
tpo,cim:AsynchronousMachineTimeConstantReactance cim:LoadMotor
tpord,cim:WindContPType3IEC cim:WindContPType4aIEC cim:WindContPType4bIEC
tppo,cim:AsynchronousMachineTimeConstantReactance cim:LoadMotor
tr,cim:ExcHU cim:ExcSK cim:GovGAST2 cim:GovGASTWD cim:GovHydro1 cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2 cim:VCompIEEEType1 cim:VCompIEEEType2
trate,cim:GovGAST2 cim:GovGASTWD
treg,cim:GovHydroPID2 cim:GovHydroWPID
trh,cim:ExcDC3A cim:ExcIEEEDC3A cim:GovSteamEU cim:GovSteamFV4
ts,cim:ExcST6B cim:ExcST7B cim:GovHydroFrancis cim:GovHydroPelton
ts1,cim:ExcELIN1 cim:PssELIN2
ts2,cim:ExcELIN1 cim:PssELIN2
tsa,cim:GovCT1 cim:GovCT2
tsb,cim:GovCT1 cim:GovCT2
tt,cim:GovGAST2 cim:GovGAST3 cim:GovGASTWD cim:GovHydro3 cim:GovHydroDD cim:GovHydroPID cim:GovHydroR cim:GovSteamFV2 cim:PssSB4
tturb,cim:GovHydroDD cim:GovHydroPID
tu1,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
tu2,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
tu3,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
tu4,cim:UnderexcLimIEEE1 cim:UnderexcLimIEEE2
tufilt,cim:WindContCurrLimIEC cim:WindContPType3IEC cim:WindContPType4aIEC cim:WindContPType4bIEC cim:WindContQIEC
tv,cim:GovGAST4 cim:GovHydroPelton cim:GovSteamFV4 cim:LoadMotor
tw,cim:GovHydro1 cim:GovHydro2 cim:GovHydro3 cim:GovHydro4 cim:GovHydroIEEE2 cim:GovHydroPID2 cim:GovHydroR cim:GovHydroWEH cim:GovHydroWPID cim:GovSteamEU
tw1,cim:Pss2B cim:Pss5 cim:PssIEEE2B cim:PssIEEE3B
tw2,cim:Pss2B cim:Pss5 cim:PssIEEE2B cim:PssIEEE3B
tw3,cim:Pss2B cim:PssIEEE2B cim:PssIEEE3B
tw4,cim:Pss2B cim:PssIEEE2B
twnc,cim:GovHydroFrancis cim:GovHydroPelton
twng,cim:GovHydroFrancis cim:GovHydroPelton
twppfilt,cim:WindPlantFreqPcontrolIEC cim:WindPlantReactiveControlIEC
tx,cim:GovHydroFrancis cim:GovHydroPelton
ty,cim:GovGAST3 cim:GovSteamFV4
type,cim:ControlArea cim:SynchronousMachine fw:ModelSpecification fw:Situation pti:Diagram
uc,cim:ACDCConverter cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2 cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1
uelin,cim:ExcIEEEDC1A cim:ExcIEEEDC2A cim:ExcIEEEDC4B cim:ExcIEEEST1A cim:ExcIEEEST2A cim:ExcIEEEST7B cim:ExcST2A cim:ExcST7B
unit,cim:ActivePower cim:ActivePowerPerCurrentFlow cim:ActivePowerPerFrequency cim:AngleDegrees cim:AngleRadians cim:ApparentPower cim:Area cim:Capacitance cim:CapacitancePerLength cim:Conductance cim:CurrentFlow cim:Frequency cim:Inductance cim:InductancePerLength cim:Length cim:Money cim:PU cim:PerCent cim:Reactance cim:ReactivePower cim:Resistance cim:ResistancePerLength cim:RotationSpeed cim:Seconds cim:Susceptance cim:Temperature cim:Voltage cim:VoltagePerReactivePower cim:VolumeFlowRate
unitMultiplier,cim:Control cim:Measurement
unitSymbol,cim:Control cim:Measurement
uo,cim:GovHydro2 cim:GovHydro4 cim:GovHydroIEEE2 cim:GovSteam1 cim:GovSteamFV3 cim:GovSteamIEEE1
va,cim:GovHydroFrancis cim:GovHydroPelton
vadat,cim:Pss1 cim:Pss5
